2026-05-19 04:52:35 | INFO | exchanges.kucoin | WS connecting connection_id=1 url=wss://ws-api-spot.kucoin.com/?token=2neAiuYvAU61ZDXANAGAsiL4-iAExhsBXZxftpOeh_55i3Ysy2q2LEsEWU64mdzUOPusi34M_wGoSf7iNyEWJ5tR6F7tPMVhblRtW1lcwxB532PKIsXogdiYB9J6i9GjsxUuhPw3Blq6rhZlGykT3Vp1phUafnulOOpts-MEmEFYEaz4Hzf02kNuPvTTk2TFJBvJHl5Vs9Y=.Vkv_NeLzPzdRxIYFN9V6hg==&connectId=cpv2-1 symbols=['SOL-USDT', 'XRP-USDT', 'DOGE-USDT', 'SUI-USDT', 'ADA-USDT', 'AVAX-USDT', 'ZEC-USDT', 'LINK-USDT', 'PEPE-USDT', 'LTC-USDT', 'NEAR-USDT', 'XMR-USDT', 'UNI-USDT', 'BNB-USDT', 'DOT-USDT', 'PENGU-USDT', 'WLD-USDT', 'SHIB-USDT', 'TON-USDT', 'ARB-USDT', 'HTX-USDT', 'BTC-USDT', 'ETH-USDT', 'OP-USDT', 'MATIC-USDT', 'IMX-USDT', 'APT-USDT', 'SEI-USDT', 'TIA-USDT', 'INJ-USDT', 'RNDR-USDT', 'ENA-USDT', 'PYTH-USDT', 'BLUR-USDT', 'AEVO-USDT', 'FLOKI-USDT', 'BONK-USDT', 'WIF-USDT', 'MEME-USDT', 'KCS-USDT']
2026-05-19 04:52:36 | INFO | exchanges.kucoin | WS connected connection_id=1
2026-05-19 04:53:22 | WARNING | exchanges.kucoin | WS closed connection_id=1 reconnects=1: code=None reason=. Retry in 2.0s.
2026-05-19 04:53:52 | INFO | exchanges.kucoin | WS connecting connection_id=1 url=wss://ws-api-spot.kucoin.com/?token=2neAiuYvAU61ZDXANAGAsiL4-iAExhsBXZxftpOeh_55i3Ysy2q2LEsEWU64mdzUOPusi34M_wGoSf7iNyEWJ5tR6F7tPMVhblRtW1lcwxB532PKIsXogdiYB9J6i9GjsxUuhPw3Blq6rhZlGykT3Vp1phUafnulOOpts-MEmEFYEaz4Hzf02kNuPvTTk2TFJBvJHl5Vs9Y=.Vkv_NeLzPzdRxIYFN9V6hg==&connectId=cpv2-1 symbols=['SOL-USDT', 'XRP-USDT', 'DOGE-USDT', 'SUI-USDT', 'ADA-USDT', 'AVAX-USDT', 'ZEC-USDT', 'LINK-USDT', 'PEPE-USDT', 'LTC-USDT', 'NEAR-USDT', 'XMR-USDT', 'UNI-USDT', 'BNB-USDT', 'DOT-USDT', 'PENGU-USDT', 'WLD-USDT', 'SHIB-USDT', 'TON-USDT', 'ARB-USDT', 'HTX-USDT', 'BTC-USDT', 'ETH-USDT', 'OP-USDT', 'MATIC-USDT', 'IMX-USDT', 'APT-USDT', 'SEI-USDT', 'TIA-USDT', 'INJ-USDT', 'RNDR-USDT', 'ENA-USDT', 'PYTH-USDT', 'BLUR-USDT', 'AEVO-USDT', 'FLOKI-USDT', 'BONK-USDT', 'WIF-USDT', 'MEME-USDT', 'KCS-USDT']
2026-05-19 04:53:53 | INFO | exchanges.kucoin | WS connected connection_id=1
2026-05-19 04:54:43 | WARNING | exchanges.kucoin | WS closed connection_id=1 reconnects=2: code=None reason=. Retry in 2.0s.
2026-05-19 04:55:13 | INFO | exchanges.kucoin | WS connecting connection_id=1 url=wss://ws-api-spot.kucoin.com/?token=2neAiuYvAU61ZDXANAGAsiL4-iAExhsBXZxftpOeh_55i3Ysy2q2LEsEWU64mdzUOPusi34M_wGoSf7iNyEWJ5tR6F7tPMVhblRtW1lcwxB532PKIsXogdiYB9J6i9GjsxUuhPw3Blq6rhZlGykT3Vp1phUafnulOOpts-MEmEFYEaz4Hzf02kNuPvTTk2TFJBvJHl5Vs9Y=.Vkv_NeLzPzdRxIYFN9V6hg==&connectId=cpv2-1 symbols=['SOL-USDT', 'XRP-USDT', 'DOGE-USDT', 'SUI-USDT', 'ADA-USDT', 'AVAX-USDT', 'ZEC-USDT', 'LINK-USDT', 'PEPE-USDT', 'LTC-USDT', 'NEAR-USDT', 'XMR-USDT', 'UNI-USDT', 'BNB-USDT', 'DOT-USDT', 'PENGU-USDT', 'WLD-USDT', 'SHIB-USDT', 'TON-USDT', 'ARB-USDT', 'HTX-USDT', 'BTC-USDT', 'ETH-USDT', 'OP-USDT', 'MATIC-USDT', 'IMX-USDT', 'APT-USDT', 'SEI-USDT', 'TIA-USDT', 'INJ-USDT', 'RNDR-USDT', 'ENA-USDT', 'PYTH-USDT', 'BLUR-USDT', 'AEVO-USDT', 'FLOKI-USDT', 'BONK-USDT', 'WIF-USDT', 'MEME-USDT', 'KCS-USDT']
2026-05-19 04:55:14 | INFO | exchanges.kucoin | WS connected connection_id=1
2026-05-19 04:55:57 | WARNING | exchanges.kucoin | WS closed connection_id=1 reconnects=3: code=None reason=. Retry in 2.0s.
2026-05-19 04:56:29 | INFO | exchanges.kucoin | WS connecting connection_id=1 url=wss://ws-api-spot.kucoin.com/?token=2neAiuYvAU61ZDXANAGAsiL4-iAExhsBXZxftpOeh_55i3Ysy2q2LEsEWU64mdzUOPusi34M_wGoSf7iNyEWJ5tR6F7tPMVhblRtW1lcwxB532PKIsXogdiYB9J6i9GjsxUuhPw3Blq6rhZlGykT3Vp1phUafnulOOpts-MEmEFYEaz4Hzf02kNuPvTTk2TFJBvJHl5Vs9Y=.Vkv_NeLzPzdRxIYFN9V6hg==&connectId=cpv2-1 symbols=['SOL-USDT', 'XRP-USDT', 'DOGE-USDT', 'SUI-USDT', 'ADA-USDT', 'AVAX-USDT', 'ZEC-USDT', 'LINK-USDT', 'PEPE-USDT', 'LTC-USDT', 'NEAR-USDT', 'XMR-USDT', 'UNI-USDT', 'BNB-USDT', 'DOT-USDT', 'PENGU-USDT', 'WLD-USDT', 'SHIB-USDT', 'TON-USDT', 'ARB-USDT', 'HTX-USDT', 'BTC-USDT', 'ETH-USDT', 'OP-USDT', 'MATIC-USDT', 'IMX-USDT', 'APT-USDT', 'SEI-USDT', 'TIA-USDT', 'INJ-USDT', 'RNDR-USDT', 'ENA-USDT', 'PYTH-USDT', 'BLUR-USDT', 'AEVO-USDT', 'FLOKI-USDT', 'BONK-USDT', 'WIF-USDT', 'MEME-USDT', 'KCS-USDT']
2026-05-19 04:56:30 | INFO | exchanges.kucoin | WS connected connection_id=1
