2026-05-19 04:52:32 | INFO | exchanges.bitget | WS connecting connection_id=1 url=wss://ws.bitget.com/v2/ws/public symbols=['SOLUSDT', 'XRPUSDT', 'DOGEUSDT', 'SUIUSDT', 'ADAUSDT', 'AVAXUSDT', 'ZECUSDT', 'LINKUSDT', 'PEPEUSDT', 'LTCUSDT', 'NEARUSDT', 'UNIUSDT', 'BNBUSDT', 'DOTUSDT', 'PENGUUSDT', 'WLDUSDT', 'SHIBUSDT', 'TONUSDT', 'ARBUSDT', 'HTXUSDT', 'BTCUSDT', 'ETHUSDT', 'OPUSDT', 'IMXUSDT', 'APTUSDT', 'SEIUSDT', 'TIAUSDT', 'INJUSDT', 'ENAUSDT', 'PYTHUSDT', 'BLURUSDT', 'AEVOUSDT', 'FLOKIUSDT', 'BONKUSDT', 'WIFUSDT', 'MEMEUSDT', 'BGBUSDT']
2026-05-19 04:52:34 | INFO | exchanges.bitget | WS connected connection_id=1
2026-05-19 04:54:55 | ERROR | exchanges.bitget | WS error connection_id=1 reconnects=1: 'NoneType' object has no attribute 'resume_reading'. Retry in 2.0s.
2026-05-19 04:55:25 | INFO | exchanges.bitget | WS connecting connection_id=1 url=wss://ws.bitget.com/v2/ws/public symbols=['SOLUSDT', 'XRPUSDT', 'DOGEUSDT', 'SUIUSDT', 'ADAUSDT', 'AVAXUSDT', 'ZECUSDT', 'LINKUSDT', 'PEPEUSDT', 'LTCUSDT', 'NEARUSDT', 'UNIUSDT', 'BNBUSDT', 'DOTUSDT', 'PENGUUSDT', 'WLDUSDT', 'SHIBUSDT', 'TONUSDT', 'ARBUSDT', 'HTXUSDT', 'BTCUSDT', 'ETHUSDT', 'OPUSDT', 'IMXUSDT', 'APTUSDT', 'SEIUSDT', 'TIAUSDT', 'INJUSDT', 'ENAUSDT', 'PYTHUSDT', 'BLURUSDT', 'AEVOUSDT', 'FLOKIUSDT', 'BONKUSDT', 'WIFUSDT', 'MEMEUSDT', 'BGBUSDT']
2026-05-19 04:55:26 | INFO | exchanges.bitget | WS connected connection_id=1
2026-05-19 04:57:52 | WARNING | exchanges.bitget | WS closed connection_id=1 reconnects=2: code=None reason=. Retry in 2.0s.
2026-05-19 04:58:17 | INFO | exchanges.bitget | WS connecting connection_id=1 url=wss://ws.bitget.com/v2/ws/public symbols=['SOLUSDT', 'XRPUSDT', 'DOGEUSDT', 'SUIUSDT', 'ADAUSDT', 'AVAXUSDT', 'ZECUSDT', 'LINKUSDT', 'PEPEUSDT', 'LTCUSDT', 'NEARUSDT', 'UNIUSDT', 'BNBUSDT', 'DOTUSDT', 'PENGUUSDT', 'WLDUSDT', 'SHIBUSDT', 'TONUSDT', 'ARBUSDT', 'HTXUSDT', 'BTCUSDT', 'ETHUSDT', 'OPUSDT', 'IMXUSDT', 'APTUSDT', 'SEIUSDT', 'TIAUSDT', 'INJUSDT', 'ENAUSDT', 'PYTHUSDT', 'BLURUSDT', 'AEVOUSDT', 'FLOKIUSDT', 'BONKUSDT', 'WIFUSDT', 'MEMEUSDT', 'BGBUSDT']
2026-05-19 04:58:18 | INFO | exchanges.bitget | WS connected connection_id=1
2026-05-19 05:00:42 | WARNING | exchanges.bitget | WS closed connection_id=1 reconnects=3: code=None reason=. Retry in 2.0s.
2026-05-19 05:01:14 | INFO | exchanges.bitget | WS connecting connection_id=1 url=wss://ws.bitget.com/v2/ws/public symbols=['SOLUSDT', 'XRPUSDT', 'DOGEUSDT', 'SUIUSDT', 'ADAUSDT', 'AVAXUSDT', 'ZECUSDT', 'LINKUSDT', 'PEPEUSDT', 'LTCUSDT', 'NEARUSDT', 'UNIUSDT', 'BNBUSDT', 'DOTUSDT', 'PENGUUSDT', 'WLDUSDT', 'SHIBUSDT', 'TONUSDT', 'ARBUSDT', 'HTXUSDT', 'BTCUSDT', 'ETHUSDT', 'OPUSDT', 'IMXUSDT', 'APTUSDT', 'SEIUSDT', 'TIAUSDT', 'INJUSDT', 'ENAUSDT', 'PYTHUSDT', 'BLURUSDT', 'AEVOUSDT', 'FLOKIUSDT', 'BONKUSDT', 'WIFUSDT', 'MEMEUSDT', 'BGBUSDT']
2026-05-19 05:01:15 | INFO | exchanges.bitget | WS connected connection_id=1
2026-05-19 05:03:41 | WARNING | exchanges.bitget | WS closed connection_id=1 reconnects=4: code=None reason=. Retry in 2.0s.
2026-05-19 05:04:08 | INFO | exchanges.bitget | WS connecting connection_id=1 url=wss://ws.bitget.com/v2/ws/public symbols=['SOLUSDT', 'XRPUSDT', 'DOGEUSDT', 'SUIUSDT', 'ADAUSDT', 'AVAXUSDT', 'ZECUSDT', 'LINKUSDT', 'PEPEUSDT', 'LTCUSDT', 'NEARUSDT', 'UNIUSDT', 'BNBUSDT', 'DOTUSDT', 'PENGUUSDT', 'WLDUSDT', 'SHIBUSDT', 'TONUSDT', 'ARBUSDT', 'HTXUSDT', 'BTCUSDT', 'ETHUSDT', 'OPUSDT', 'IMXUSDT', 'APTUSDT', 'SEIUSDT', 'TIAUSDT', 'INJUSDT', 'ENAUSDT', 'PYTHUSDT', 'BLURUSDT', 'AEVOUSDT', 'FLOKIUSDT', 'BONKUSDT', 'WIFUSDT', 'MEMEUSDT', 'BGBUSDT']
2026-05-19 05:04:08 | INFO | exchanges.bitget | WS connected connection_id=1
2026-05-19 05:06:16 | WARNING | exchanges.bitget | WS closed connection_id=1 reconnects=5: code=None reason=. Retry in 2.0s.
